Title:  Solar Radiation of All station during year 1961 to 2017

SL.	Station	Year	Month	Decade	Solar Radiation
6610	Mymensingh (10609)	1998	August	1	149.60
6611	Mymensingh (10609)	1998	August	2	118.28
6612	Mymensingh (10609)	1998	August	3	163.64
6613	Mymensingh (10609)	1998	September	1	127.02
6614	Mymensingh (10609)	1998	September	2	188.45
6615	Mymensingh (10609)	1998	September	3	178.25
6616	Mymensingh (10609)	1998	October	1	180.15
6617	Mymensingh (10609)	1998	October	2	154.51
6618	Mymensingh (10609)	1998	October	3	164.04
6619	Mymensingh (10609)	1998	November	1	170.28
6620	Mymensingh (10609)	1998	November	2	159.34
6621	Mymensingh (10609)	1998	November	3	126.44
6622	Mymensingh (10609)	1998	December	1	153.26
6623	Mymensingh (10609)	1998	December	2	157.71
6624	Mymensingh (10609)	1998	December	3	161.75
6625	Mymensingh (10609)	1999	January	1	138.57
6626	Mymensingh (10609)	1999	January	2	151.55
6627	Mymensingh (10609)	1999	January	3	176.18
6628	Mymensingh (10609)	1999	February	1	165.22
6629	Mymensingh (10609)	1999	February	2	185.52
6630	Mymensingh (10609)	1999	February	3	161.17
6631	Mymensingh (10609)	1999	March	1	209.30
6632	Mymensingh (10609)	1999	March	2	212.74
6633	Mymensingh (10609)	1999	March	3	223.21
6634	Mymensingh (10609)	1999	April	1	198.10
6635	Mymensingh (10609)	1999	April	2	225.32
6636	Mymensingh (10609)	1999	April	3	206.72
6637	Mymensingh (10609)	1999	May	1	178.73
6638	Mymensingh (10609)	1999	May	2	220.36
6639	Mymensingh (10609)	1999	May	3	169.10
6640	Mymensingh (10609)	1999	June	1	199.68
6641	Mymensingh (10609)	1999	June	2	187.33
6642	Mymensingh (10609)	1999	June	3	124.71
6643	Mymensingh (10609)	1999	July	1	146.17
6644	Mymensingh (10609)	1999	July	2	143.81
6645	Mymensingh (10609)	1999	July	3	200.70
6646	Mymensingh (10609)	1999	August	1	204.03
6647	Mymensingh (10609)	1999	August	2	133.36
6648	Mymensingh (10609)	1999	August	3	160.63
6649	Mymensingh (10609)	1999	September	1	146.25
6650	Mymensingh (10609)	1999	September	2	146.38
6651	Mymensingh (10609)	1999	September	3	146.46
6652	Mymensingh (10609)	1999	October	1	171.87
6653	Mymensingh (10609)	1999	October	2	131.30
6654	Mymensingh (10609)	1999	October	3	133.73
6655	Mymensingh (10609)	1999	November	1	175.72
6656	Mymensingh (10609)	1999	November	2	173.60
6657	Mymensingh (10609)	1999	November	3	160.57
6658	Mymensingh (10609)	1999	December	1	156.82
6659	Mymensingh (10609)	1999	December	2	152.00
6660	Mymensingh (10609)	1999	December	3	165.72
6661	Mymensingh (10609)	2000	January	1	116.64
6662	Mymensingh (10609)	2000	January	2	136.77
6663	Mymensingh (10609)	2000	January	3	148.96
6664	Mymensingh (10609)	2000	February	1	130.63
6665	Mymensingh (10609)	2000	February	2	176.49
6666	Mymensingh (10609)	2000	February	3	166.86
6667	Mymensingh (10609)	2000	March	1	162.10
6668	Mymensingh (10609)	2000	March	2	192.83
6669	Mymensingh (10609)	2000	March	3	222.66
6670	Mymensingh (10609)	2000	April	1	222.31
6671	Mymensingh (10609)	2000	April	2	225.21
6672	Mymensingh (10609)	2000	April	3	156.65
6673	Mymensingh (10609)	2000	May	1	206.15
6674	Mymensingh (10609)	2000	May	2	208.55
6675	Mymensingh (10609)	2000	May	3	149.13
6676	Mymensingh (10609)	2000	June	1	195.12
6677	Mymensingh (10609)	2000	June	2	158.67
6678	Mymensingh (10609)	2000	June	3	139.99
6679	Mymensingh (10609)	2000	July	1	169.87
6680	Mymensingh (10609)	2000	July	2	171.75
6681	Mymensingh (10609)	2000	July	3	206.75
6682	Mymensingh (10609)	2000	August	1	141.44
6683	Mymensingh (10609)	2000	August	2	157.28
6684	Mymensingh (10609)	2000	August	3	180.29
6685	Mymensingh (10609)	2000	September	1	147.92
6686	Mymensingh (10609)	2000	September	2	124.12
6687	Mymensingh (10609)	2000	September	3	153.76
6688	Mymensingh (10609)	2000	October	1	146.56
6689	Mymensingh (10609)	2000	October	2	196.56
6690	Mymensingh (10609)	2000	October	3	163.86
6691	Mymensingh (10609)	2000	November	1	171.09
6692	Mymensingh (10609)	2000	November	2	160.17
6693	Mymensingh (10609)	2000	November	3	138.34
6694	Mymensingh (10609)	2000	December	1	139.79
6695	Mymensingh (10609)	2000	December	2	129.61
6696	Mymensingh (10609)	2000	December	3	148.14
6697	Mymensingh (10609)	2001	January	1	117.10
6698	Mymensingh (10609)	2001	January	2	144.57
6699	Mymensingh (10609)	2001	January	3	147.83
6700	Mymensingh (10609)	2001	February	1	133.52
6701	Mymensingh (10609)	2001	February	2	167.70
6702	Mymensingh (10609)	2001	February	3	117.11
6703	Mymensingh (10609)	2001	March	1	180.45
6704	Mymensingh (10609)	2001	March	2	219.82
6705	Mymensingh (10609)	2001	March	3	213.95
6706	Mymensingh (10609)	2001	April	1	218.00
6707	Mymensingh (10609)	2001	April	2	199.43
6708	Mymensingh (10609)	2001	April	3	210.86
6709	Mymensingh (10609)	2001	May	1	155.69
6710	Mymensingh (10609)	2001	May	2	236.57
6711	Mymensingh (10609)	2001	May	3	219.80
6712	Mymensingh (10609)	2001	June	1	177.68
6713	Mymensingh (10609)	2001	June	2	158.32
6714	Mymensingh (10609)	2001	June	3	200.59
6715	Mymensingh (10609)	2001	July	1	227.65
6716	Mymensingh (10609)	2001	July	2	172.17
6717	Mymensingh (10609)	2001	July	3	161.77
6718	Mymensingh (10609)	2001	August	1	191.15
6719	Mymensingh (10609)	2001	August	2	199.70
6720	Mymensingh (10609)	2001	August	3	167.09
6721	Mymensingh (10609)	2001	September	1	163.77
6722	Mymensingh (10609)	2001	September	2	146.32
6723	Mymensingh (10609)	2001	September	3	186.46
6724	Mymensingh (10609)	2001	October	1	121.14
6725	Mymensingh (10609)	2001	October	2	164.38
6726	Mymensingh (10609)	2001	October	3	197.10
6727	Mymensingh (10609)	2001	November	1	151.84
6728	Mymensingh (10609)	2001	November	2	145.45
6729	Mymensingh (10609)	2001	November	3	154.36
6730	Mymensingh (10609)	2001	December	1	121.04
6731	Mymensingh (10609)	2001	December	2	133.74
6732	Mymensingh (10609)	2001	December	3	166.50
6733	Mymensingh (10609)	2002	January	1	151.38
6734	Mymensingh (10609)	2002	January	2	130.96
6735	Mymensingh (10609)	2002	January	3	153.14
6736	Mymensingh (10609)	2002	February	1	171.12
6737	Mymensingh (10609)	2002	February	2	184.28
6738	Mymensingh (10609)	2002	February	3	163.70
6739	Mymensingh (10609)	2002	March	1	194.31
6740	Mymensingh (10609)	2002	March	2	211.93
6741	Mymensingh (10609)	2002	March	3	202.15
6742	Mymensingh (10609)	2002	April	1	201.75
6743	Mymensingh (10609)	2002	April	2	208.78
6744	Mymensingh (10609)	2002	April	3	232.67
6745	Mymensingh (10609)	2002	May	1	220.29
6746	Mymensingh (10609)	2002	May	2	219.86
6747	Mymensingh (10609)	2002	May	3	198.30
6748	Mymensingh (10609)	2002	June	1	173.38
6749	Mymensingh (10609)	2002	June	2	129.94
6750	Mymensingh (10609)	2002	June	3	161.83
6751	Mymensingh (10609)	2002	July	1	113.82
6752	Mymensingh (10609)	2002	July	2	155.44
6753	Mymensingh (10609)	2002	July	3	135.30
6754	Mymensingh (10609)	2002	August	1	180.66
6755	Mymensingh (10609)	2002	August	2	159.37
6756	Mymensingh (10609)	2002	August	3	220.57
6757	Mymensingh (10609)	2002	September	1	230.93
6758	Mymensingh (10609)	2002	September	2	187.01
6759	Mymensingh (10609)	2002	September	3	121.80
6760	Mymensingh (10609)	2002	October	1	171.48
6761	Mymensingh (10609)	2002	October	2	168.94
6762	Mymensingh (10609)	2002	October	3	219.66
6763	Mymensingh (10609)	2002	November	1	165.27
6764	Mymensingh (10609)	2002	November	2	139.22
6765	Mymensingh (10609)	2002	November	3	161.81
6766	Mymensingh (10609)	2002	December	1	157.18
6767	Mymensingh (10609)	2002	December	2	126.90
6768	Mymensingh (10609)	2002	December	3	111.21
6769	Mymensingh (10609)	2003	January	1	118.82
6770	Mymensingh (10609)	2003	January	2	112.07
6771	Mymensingh (10609)	2003	January	3	148.55
6772	Mymensingh (10609)	2003	February	1	152.65
6773	Mymensingh (10609)	2003	February	2	179.95
6774	Mymensingh (10609)	2003	February	3	163.59
6775	Mymensingh (10609)	2003	March	1	206.92
6776	Mymensingh (10609)	2003	March	2	161.48
6777	Mymensingh (10609)	2003	March	3	226.81
6778	Mymensingh (10609)	2003	April	1	222.71
6779	Mymensingh (10609)	2003	April	2	203.14
6780	Mymensingh (10609)	2003	April	3	209.31
6781	Mymensingh (10609)	2003	May	1	181.31
6782	Mymensingh (10609)	2003	May	2	245.96
6783	Mymensingh (10609)	2003	May	3	220.60
6784	Mymensingh (10609)	2003	June	1	174.50
6785	Mymensingh (10609)	2003	June	2	184.94
6786	Mymensingh (10609)	2003	June	3	138.10
6787	Mymensingh (10609)	2003	July	1	182.04
6788	Mymensingh (10609)	2003	July	2	163.88
6789	Mymensingh (10609)	2003	July	3	223.18
6790	Mymensingh (10609)	2003	August	1	197.22
6791	Mymensingh (10609)	2003	August	2	178.21
6792	Mymensingh (10609)	2003	August	3	203.05
6793	Mymensingh (10609)	2003	September	1	182.79
6794	Mymensingh (10609)	2003	September	2	131.44
6795	Mymensingh (10609)	2003	September	3	135.17
6796	Mymensingh (10609)	2003	October	1	116.42
6797	Mymensingh (10609)	2003	October	2	169.54
6798	Mymensingh (10609)	2003	October	3	143.09
6799	Mymensingh (10609)	2003	November	1	160.08
6800	Mymensingh (10609)	2003	November	2	176.55
6801	Mymensingh (10609)	2003	November	3	159.91
6802	Mymensingh (10609)	2003	December	1	156.50
6803	Mymensingh (10609)	2003	December	2	123.96
6804	Mymensingh (10609)	2003	December	3	147.51
6805	Mymensingh (10609)	2004	January	1	114.65
6806	Mymensingh (10609)	2004	January	2	136.47
6807	Mymensingh (10609)	2004	January	3	163.33
6808	Mymensingh (10609)	2004	February	1	171.37
6809	Mymensingh (10609)	2004	February	2	190.40
6810	Mymensingh (10609)	2004	February	3	167.37
6811	Mymensingh (10609)	2004	March	1	172.97
6812	Mymensingh (10609)	2004	March	2	182.48
6813	Mymensingh (10609)	2004	March	3	210.85
6814	Mymensingh (10609)	2004	April	1	178.46
6815	Mymensingh (10609)	2004	April	2	175.53
6816	Mymensingh (10609)	2004	April	3	215.18
6817	Mymensingh (10609)	2004	May	1	262.86
6818	Mymensingh (10609)	2004	May	2	200.62
6819	Mymensingh (10609)	2004	May	3	215.62
6820	Mymensingh (10609)	2004	June	1	181.89
6821	Mymensingh (10609)	2004	June	2	149.12
6822	Mymensingh (10609)	2004	June	3	152.41
6823	Mymensingh (10609)	2004	July	1	152.17
6824	Mymensingh (10609)	2004	July	2	137.17
6825	Mymensingh (10609)	2004	July	3	231.09
6826	Mymensingh (10609)	2004	August	1	220.84
6827	Mymensingh (10609)	2004	August	2	225.94
6828	Mymensingh (10609)	2004	August	3	170.40
6829	Mymensingh (10609)	2004	September	1	117.20
6830	Mymensingh (10609)	2004	September	2	120.80
6831	Mymensingh (10609)	2004	September	3	126.68
6832	Mymensingh (10609)	2004	October	1	137.38
6833	Mymensingh (10609)	2004	October	2	175.23
6834	Mymensingh (10609)	2004	October	3	190.55
6835	Mymensingh (10609)	2004	November	1	164.33
6836	Mymensingh (10609)	2004	November	2	147.04
6837	Mymensingh (10609)	2004	November	3	142.25
6838	Mymensingh (10609)	2004	December	1	148.01
6839	Mymensingh (10609)	2004	December	2	139.12
6840	Mymensingh (10609)	2004	December	3	108.43
6841	Mymensingh (10609)	2005	January	1	113.16
6842	Mymensingh (10609)	2005	January	2	119.93
6843	Mymensingh (10609)	2005	January	3	114.73
6844	Mymensingh (10609)	2005	February	1	147.78
6845	Mymensingh (10609)	2005	February	2	160.62
6846	Mymensingh (10609)	2005	February	3	149.69
6847	Mymensingh (10609)	2005	March	1	180.96
6848	Mymensingh (10609)	2005	March	2	168.95
6849	Mymensingh (10609)	2005	March	3	161.05
6850	Mymensingh (10609)	2005	April	1	202.37
6851	Mymensingh (10609)	2005	April	2	215.06
6852	Mymensingh (10609)	2005	April	3	222.24
6853	Mymensingh (10609)	2005	May	1	218.34
6854	Mymensingh (10609)	2005	May	2	194.70
6855	Mymensingh (10609)	2005	May	3	219.34
6856	Mymensingh (10609)	2005	June	1	221.39
6857	Mymensingh (10609)	2005	June	2	168.68
6858	Mymensingh (10609)	2005	June	3	172.36
6859	Mymensingh (10609)	2005	July	1	179.34
6860	Mymensingh (10609)	2005	July	2	117.17
6861	Mymensingh (10609)	2005	July	3	253.40
6862	Mymensingh (10609)	2005	August	1	160.16
6863	Mymensingh (10609)	2005	August	2	162.06
6864	Mymensingh (10609)	2005	August	3	156.93
6865	Mymensingh (10609)	2005	September	1	181.08
6866	Mymensingh (10609)	2005	September	2	193.84
6867	Mymensingh (10609)	2005	September	3	122.04
6868	Mymensingh (10609)	2005	October	1	146.13
6869	Mymensingh (10609)	2005	October	2	128.93
6870	Mymensingh (10609)	2005	October	3	161.43
6871	Mymensingh (10609)	2005	November	1	169.79
6872	Mymensingh (10609)	2005	November	2	155.19
6873	Mymensingh (10609)	2005	November	3	127.31
6874	Mymensingh (10609)	2005	December	1	145.49
6875	Mymensingh (10609)	2005	December	2	145.25
6876	Mymensingh (10609)	2005	December	3	150.30
6877	Mymensingh (10609)	2006	January	1	117.61
6878	Mymensingh (10609)	2006	January	2	92.95
6879	Mymensingh (10609)	2006	January	3	168.56
6880	Mymensingh (10609)	2006	February	1	163.37
6881	Mymensingh (10609)	2006	February	2	141.03
6882	Mymensingh (10609)	2006	February	3	131.11
6883	Mymensingh (10609)	2006	March	1	181.29
6884	Mymensingh (10609)	2006	March	2	184.93
6885	Mymensingh (10609)	2006	March	3	202.81
6886	Mymensingh (10609)	2006	April	1	202.43
6887	Mymensingh (10609)	2006	April	2	202.64
6888	Mymensingh (10609)	2006	April	3	214.14
6889	Mymensingh (10609)	2006	May	1	216.44
6890	Mymensingh (10609)	2006	May	2	220.20
6891	Mymensingh (10609)	2006	May	3	214.37
6892	Mymensingh (10609)	2006	June	1	150.12
6893	Mymensingh (10609)	2006	June	2	149.39
6894	Mymensingh (10609)	2006	June	3	143.68
6895	Mymensingh (10609)	2006	July	1	177.10
6896	Mymensingh (10609)	2006	July	2	180.77
6897	Mymensingh (10609)	2006	July	3	224.43
6898	Mymensingh (10609)	2006	August	1	200.54
6899	Mymensingh (10609)	2006	August	2	230.25
6900	Mymensingh (10609)	2006	August	3	173.93
6901	Mymensingh (10609)	2006	September	1	168.65
6902	Mymensingh (10609)	2006	September	2	148.81
6903	Mymensingh (10609)	2006	September	3	147.64
6904	Mymensingh (10609)	2006	October	1	145.95
6905	Mymensingh (10609)	2006	October	2	148.88
6906	Mymensingh (10609)	2006	October	3	177.59
6907	Mymensingh (10609)	2006	November	1	105.88
6908	Mymensingh (10609)	2006	November	2	146.83
6909	Mymensingh (10609)	2006	November	3	118.81
6910	Mymensingh (10609)	2006	December	1	107.33
6911	Mymensingh (10609)	2006	December	2	104.60
6912	Mymensingh (10609)	2006	December	3	113.68
6913	Mymensingh (10609)	2007	January	1	94.59
6914	Mymensingh (10609)	2007	January	2	127.47
6915	Mymensingh (10609)	2007	January	3	143.59
6916	Mymensingh (10609)	2007	February	1	101.54
6917	Mymensingh (10609)	2007	February	2	144.28
6918	Mymensingh (10609)	2007	February	3	150.02
6919	Mymensingh (10609)	2007	March	1	177.94
6920	Mymensingh (10609)	2007	March	2	196.91
6921	Mymensingh (10609)	2007	March	3	213.35
6922	Mymensingh (10609)	2007	April	1	193.47
6923	Mymensingh (10609)	2007	April	2	206.11
6924	Mymensingh (10609)	2007	April	3	182.48
6925	Mymensingh (10609)	2007	May	1	255.09
6926	Mymensingh (10609)	2007	May	2	202.85
6927	Mymensingh (10609)	2007	May	3	218.04
6928	Mymensingh (10609)	2007	June	1	139.90
6929	Mymensingh (10609)	2007	June	2	158.00
6930	Mymensingh (10609)	2007	June	3	196.90
6931	Mymensingh (10609)	2007	July	1	186.34
6932	Mymensingh (10609)	2007	July	2	151.45
6933	Mymensingh (10609)	2007	July	3	133.22
6934	Mymensingh (10609)	2007	August	1	225.86
6935	Mymensingh (10609)	2007	August	2	155.18
6936	Mymensingh (10609)	2007	August	3	149.33
6937	Mymensingh (10609)	2007	September	1	110.24
6938	Mymensingh (10609)	2007	September	2	164.19
6939	Mymensingh (10609)	2007	September	3	130.04
6940	Mymensingh (10609)	2007	October	1	142.72
6941	Mymensingh (10609)	2007	October	2	138.88
6942	Mymensingh (10609)	2007	October	3	204.61
6943	Mymensingh (10609)	2007	November	1	158.38
6944	Mymensingh (10609)	2007	November	2	139.43
6945	Mymensingh (10609)	2007	November	3	159.46
6946	Mymensingh (10609)	2007	December	1	134.26
6947	Mymensingh (10609)	2007	December	2	139.77
6948	Mymensingh (10609)	2007	December	3	127.39
6949	Mymensingh (10609)	2008	January	1	135.53
6950	Mymensingh (10609)	2008	January	2	88.16
6951	Mymensingh (10609)	2008	January	3	108.09
6952	Mymensingh (10609)	2008	February	1	140.16
6953	Mymensingh (10609)	2008	February	2	155.51
6954	Mymensingh (10609)	2008	February	3	142.77
6955	Mymensingh (10609)	2008	March	1	157.06
6956	Mymensingh (10609)	2008	March	2	154.53
6957	Mymensingh (10609)	2008	March	3	193.09
6958	Mymensingh (10609)	2008	April	1	201.41
6959	Mymensingh (10609)	2008	April	2	211.49
6960	Mymensingh (10609)	2008	April	3	227.04
6961	Mymensingh (10609)	2008	May	1	221.95
6962	Mymensingh (10609)	2008	May	2	241.20
6963	Mymensingh (10609)	2008	May	3	208.91
6964	Mymensingh (10609)	2008	June	1	163.08
6965	Mymensingh (10609)	2008	June	2	151.32
6966	Mymensingh (10609)	2008	June	3	166.92
6967	Mymensingh (10609)	2008	July	1	161.09
6968	Mymensingh (10609)	2008	July	2	132.85
6969	Mymensingh (10609)	2008	July	3	199.23
6970	Mymensingh (10609)	2008	August	1	172.51
6971	Mymensingh (10609)	2008	August	2	127.87
6972	Mymensingh (10609)	2008	August	3	159.07
6973	Mymensingh (10609)	2008	September	1	166.65
6974	Mymensingh (10609)	2008	September	2	191.69
6975	Mymensingh (10609)	2008	September	3	164.90
6976	Mymensingh (10609)	2008	October	1	139.37
6977	Mymensingh (10609)	2008	October	2	189.38
6978	Mymensingh (10609)	2008	October	3	161.45
6979	Mymensingh (10609)	2008	November	1	182.17
6980	Mymensingh (10609)	2008	November	2	162.33
6981	Mymensingh (10609)	2008	November	3	156.61
6982	Mymensingh (10609)	2008	December	1	138.38
6983	Mymensingh (10609)	2008	December	2	83.34
6984	Mymensingh (10609)	2008	December	3	107.53
6985	Mymensingh (10609)	2009	January	1	132.00
6986	Mymensingh (10609)	2009	January	2	130.23
6987	Mymensingh (10609)	2009	January	3	107.59
6988	Mymensingh (10609)	2009	February	1	168.60
6989	Mymensingh (10609)	2009	February	2	176.21
6990	Mymensingh (10609)	2009	February	3	142.65
6991	Mymensingh (10609)	2009	March	1	176.74
6992	Mymensingh (10609)	2009	March	2	186.74
6993	Mymensingh (10609)	2009	March	3	201.61
6994	Mymensingh (10609)	2009	April	1	194.27
6995	Mymensingh (10609)	2009	April	2	225.35
6996	Mymensingh (10609)	2009	April	3	220.90
6997	Mymensingh (10609)	2009	May	1	210.47
6998	Mymensingh (10609)	2009	May	2	191.22
6999	Mymensingh (10609)	2009	May	3	208.48
7000	Mymensingh (10609)	2009	June	1	217.23
7001	Mymensingh (10609)	2009	June	2	169.96
7002	Mymensingh (10609)	2009	June	3	155.30
7003	Mymensingh (10609)	2009	July	1	161.49
7004	Mymensingh (10609)	2009	July	2	232.58
7005	Mymensingh (10609)	2009	July	3	181.83
7006	Mymensingh (10609)	2009	August	1	185.62
7007	Mymensingh (10609)	2009	August	2	109.95
7008	Mymensingh (10609)	2009	August	3	180.63
7009	Mymensingh (10609)	2009	September	1	175.51
7010	Mymensingh (10609)	2009	September	2	139.10
7011	Mymensingh (10609)	2009	September	3	175.04
7012	Mymensingh (10609)	2009	October	1	148.92
7013	Mymensingh (10609)	2009	October	2	174.04
7014	Mymensingh (10609)	2009	October	3	206.81
7015	Mymensingh (10609)	2009	November	1	150.87
7016	Mymensingh (10609)	2009	November	2	126.74
7017	Mymensingh (10609)	2009	November	3	153.63
7018	Mymensingh (10609)	2009	December	1	120.45
7019	Mymensingh (10609)	2009	December	2	114.88
7020	Mymensingh (10609)	2009	December	3	134.48
7021	Mymensingh (10609)	2010	January	1	124.37
7022	Mymensingh (10609)	2010	January	2	108.48
7023	Mymensingh (10609)	2010	January	3	178.29
7024	Mymensingh (10609)	2010	February	1	157.55
7025	Mymensingh (10609)	2010	February	2	166.51
7026	Mymensingh (10609)	2010	February	3	130.05
7027	Mymensingh (10609)	2010	March	1	196.64
7028	Mymensingh (10609)	2010	March	2	198.18
7029	Mymensingh (10609)	2010	March	3	167.26
7030	Mymensingh (10609)	2010	April	1	197.82
7031	Mymensingh (10609)	2010	April	2	198.37
7032	Mymensingh (10609)	2010	April	3	187.86
7033	Mymensingh (10609)	2010	May	1	204.86
7034	Mymensingh (10609)	2010	May	2	206.16
7035	Mymensingh (10609)	2010	May	3	224.27
7036	Mymensingh (10609)	2010	June	1	167.02
7037	Mymensingh (10609)	2010	June	2	177.94
7038	Mymensingh (10609)	2010	June	3	144.95
7039	Mymensingh (10609)	2010	July	1	197.67
7040	Mymensingh (10609)	2010	July	2	148.11
7041	Mymensingh (10609)	2010	July	3	194.38
7042	Mymensingh (10609)	2010	August	1	225.61
7043	Mymensingh (10609)	2010	August	2	130.11
7044	Mymensingh (10609)	2010	August	3	172.08
7045	Mymensingh (10609)	2010	September	1	149.44
7046	Mymensingh (10609)	2010	September	2	139.16
7047	Mymensingh (10609)	2010	September	3	154.40
7048	Mymensingh (10609)	2010	October	1	147.14
7049	Mymensingh (10609)	2010	October	2	160.56
7050	Mymensingh (10609)	2010	October	3	187.66
7051	Mymensingh (10609)	2010	November	1	161.30
7052	Mymensingh (10609)	2010	November	2	144.30
7053	Mymensingh (10609)	2010	November	3	125.44
7054	Mymensingh (10609)	2010	December	1	111.72
7055	Mymensingh (10609)	2010	December	2	134.05
7056	Mymensingh (10609)	2010	December	3	145.79
7057	Mymensingh (10609)	2011	January	1	113.76
7058	Mymensingh (10609)	2011	January	2	99.08
7059	Mymensingh (10609)	2011	January	3	128.72
7060	Mymensingh (10609)	2011	February	1	152.94
7061	Mymensingh (10609)	2011	February	2	144.86
7062	Mymensingh (10609)	2011	February	3	144.84
7063	Mymensingh (10609)	2011	March	1	203.67
7064	Mymensingh (10609)	2011	March	2	183.33
7065	Mymensingh (10609)	2011	March	3	187.58
7066	Mymensingh (10609)	2011	April	1	202.85
7067	Mymensingh (10609)	2011	April	2	221.13
7068	Mymensingh (10609)	2011	April	3	230.52
7069	Mymensingh (10609)	2011	May	1	234.21
7070	Mymensingh (10609)	2011	May	2	195.36
7071	Mymensingh (10609)	2011	May	3	193.03
7072	Mymensingh (10609)	2011	June	1	221.53
7073	Mymensingh (10609)	2011	June	2	157.84
7074	Mymensingh (10609)	2011	June	3	129.79
7075	Mymensingh (10609)	2011	July	1	171.37
7076	Mymensingh (10609)	2011	July	2	151.79
7077	Mymensingh (10609)	2011	July	3	198.03
7078	Mymensingh (10609)	2011	August	1	135.56
7079	Mymensingh (10609)	2011	August	2	150.91
7080	Mymensingh (10609)	2011	August	3	212.37
7081	Mymensingh (10609)	2011	September	1	189.68
7082	Mymensingh (10609)	2011	September	2	157.90
7083	Mymensingh (10609)	2011	September	3	177.64
7084	Mymensingh (10609)	2011	October	1	189.46
7085	Mymensingh (10609)	2011	October	2	175.06
7086	Mymensingh (10609)	2011	October	3	177.50
7087	Mymensingh (10609)	2011	November	1	166.46
7088	Mymensingh (10609)	2011	November	2	119.77
7089	Mymensingh (10609)	2011	November	3	151.27
7090	Mymensingh (10609)	2011	December	1	136.69
7091	Mymensingh (10609)	2011	December	2	85.91
7092	Mymensingh (10609)	2011	December	3	127.35
7093	Mymensingh (10609)	2012	January	1	94.24
7094	Mymensingh (10609)	2012	January	2	103.56
7095	Mymensingh (10609)	2012	January	3	158.83
7096	Mymensingh (10609)	2012	February	1	158.58
7097	Mymensingh (10609)	2012	February	2	161.56
7098	Mymensingh (10609)	2012	February	3	158.67
7099	Mymensingh (10609)	2012	March	1	176.24
7100	Mymensingh (10609)	2012	March	2	199.12
7101	Mymensingh (10609)	2012	March	3	211.88
7102	Mymensingh (10609)	2012	April	1	161.99
7103	Mymensingh (10609)	2012	April	2	217.88
7104	Mymensingh (10609)	2012	April	3	224.86
7105	Mymensingh (10609)	2012	May	1	239.43
7106	Mymensingh (10609)	2012	May	2	203.18
7107	Mymensingh (10609)	2012	May	3	215.14
7108	Mymensingh (10609)	2012	June	1	164.20
7109	Mymensingh (10609)	2012	June	2	168.67
7110	Mymensingh (10609)	2012	June	3	140.78
7111	Mymensingh (10609)	2012	July	1	167.81
7112	Mymensingh (10609)	2012	July	2	140.82
7113	Mymensingh (10609)	2012	July	3	208.17
7114	Mymensingh (10609)	2012	August	1	205.17
7115	Mymensingh (10609)	2012	August	2	203.13
7116	Mymensingh (10609)	2012	August	3	175.33
7117	Mymensingh (10609)	2012	September	1	154.54
7118	Mymensingh (10609)	2012	September	2	127.82
7119	Mymensingh (10609)	2012	September	3	141.88
7120	Mymensingh (10609)	2012	October	1	136.16
7121	Mymensingh (10609)	2012	October	2	167.39
7122	Mymensingh (10609)	2012	October	3	197.19
7123	Mymensingh (10609)	2012	November	1	112.26
7124	Mymensingh (10609)	2012	November	2	145.09
7125	Mymensingh (10609)	2012	November	3	129.33
7126	Mymensingh (10609)	2012	December	1	96.21
7127	Mymensingh (10609)	2012	December	2	71.39
7128	Mymensingh (10609)	2012	December	3	78.96
7129	Mymensingh (10609)	2013	January	1	85.56
7130	Mymensingh (10609)	2013	January	2	108.49
7131	Mymensingh (10609)	2013	January	3	140.79
7132	Mymensingh (10609)	2013	February	1	138.56
7133	Mymensingh (10609)	2013	February	2	148.17
7134	Mymensingh (10609)	2013	February	3	156.28
7135	Mymensingh (10609)	2013	March	1	202.01
7136	Mymensingh (10609)	2013	March	2	164.73
7137	Mymensingh (10609)	2013	March	3	203.10
7138	Mymensingh (10609)	2013	April	1	202.85
7139	Mymensingh (10609)	2013	April	2	174.72
7140	Mymensingh (10609)	2013	April	3	158.38
7141	Mymensingh (10609)	2013	May	1	155.37
7142	Mymensingh (10609)	2013	May	2	165.76
7143	Mymensingh (10609)	2013	May	3	196.84
7144	Mymensingh (10609)	2013	June	1	166.85
7145	Mymensingh (10609)	2013	June	2	231.33
7146	Mymensingh (10609)	2013	June	3	157.38
7147	Mymensingh (10609)	2013	July	1	148.39
7148	Mymensingh (10609)	2013	July	2	165.63
7149	Mymensingh (10609)	2013	July	3	208.20
7150	Mymensingh (10609)	2013	August	1	156.78
7151	Mymensingh (10609)	2013	August	2	154.89
7152	Mymensingh (10609)	2013	August	3	179.02
7153	Mymensingh (10609)	2013	September	1	131.30
7154	Mymensingh (10609)	2013	September	2	198.53
7155	Mymensingh (10609)	2013	September	3	135.92
7156	Mymensingh (10609)	2013	October	1	157.51
7157	Mymensingh (10609)	2013	October	2	155.31
7158	Mymensingh (10609)	2013	October	3	134.41
7159	Mymensingh (10609)	2013	November	1	136.65
7160	Mymensingh (10609)	2013	November	2	163.55
7161	Mymensingh (10609)	2013	November	3	147.32
7162	Mymensingh (10609)	2013	December	1	130.79
7163	Mymensingh (10609)	2013	December	2	82.88
7164	Mymensingh (10609)	2013	December	3	72.87
7165	Mymensingh (10609)	2014	January	1	74.30
7166	Mymensingh (10609)	2014	January	2	101.27
7167	Mymensingh (10609)	2014	January	3	136.60
