Title:  Solar Radiation of All station during year 1961 to 2017

SL.	Station	Year	Month	Decade	Solar Radiation
115	Dinajpur (10120)	1992	March	1	198.38
116	Dinajpur (10120)	1992	March	2	204.19
117	Dinajpur (10120)	1992	March	3	214.73
118	Dinajpur (10120)	1992	April	1	234.16
119	Dinajpur (10120)	1992	April	2	235.87
120	Dinajpur (10120)	1992	April	3	190.00
121	Dinajpur (10120)	1992	May	1	213.34
122	Dinajpur (10120)	1992	May	2	222.66
123	Dinajpur (10120)	1992	May	3	232.17
124	Dinajpur (10120)	1992	June	1	222.42
125	Dinajpur (10120)	1992	June	2	222.23
126	Dinajpur (10120)	1992	June	3	167.10
127	Dinajpur (10120)	1992	July	1	141.02
128	Dinajpur (10120)	1992	July	2	142.48
129	Dinajpur (10120)	1992	July	3	203.26
130	Dinajpur (10120)	1992	August	1	189.71
131	Dinajpur (10120)	1992	August	2	211.63
132	Dinajpur (10120)	1992	August	3	186.05
133	Dinajpur (10120)	1992	September	1	214.12
134	Dinajpur (10120)	1992	September	2	179.14
135	Dinajpur (10120)	1992	September	3	160.19
136	Dinajpur (10120)	1992	October	1	173.73
137	Dinajpur (10120)	1992	October	2	160.10
138	Dinajpur (10120)	1992	October	3	199.81
139	Dinajpur (10120)	1992	November	1	175.50
140	Dinajpur (10120)	1992	November	2	159.58
141	Dinajpur (10120)	1992	November	3	150.74
142	Dinajpur (10120)	1992	December	1	138.88
143	Dinajpur (10120)	1992	December	2	134.66
144	Dinajpur (10120)	1992	December	3	129.21
145	Dinajpur (10120)	1993	January	1	69.66
146	Dinajpur (10120)	1993	January	2	123.85
147	Dinajpur (10120)	1993	January	3	155.85
148	Dinajpur (10120)	1993	February	1	148.43
149	Dinajpur (10120)	1993	February	2	142.41
150	Dinajpur (10120)	1993	February	3	128.97
151	Dinajpur (10120)	1993	March	1	196.85
152	Dinajpur (10120)	1993	March	2	216.88
153	Dinajpur (10120)	1993	March	3	201.26
154	Dinajpur (10120)	1993	April	1	230.26
155	Dinajpur (10120)	1993	April	2	215.60
156	Dinajpur (10120)	1993	April	3	213.03
157	Dinajpur (10120)	1993	May	1	173.78
158	Dinajpur (10120)	1993	May	2	177.53
159	Dinajpur (10120)	1993	May	3	264.48
160	Dinajpur (10120)	1993	June	1	202.79
161	Dinajpur (10120)	1993	June	2	207.86
162	Dinajpur (10120)	1993	June	3	191.15
163	Dinajpur (10120)	1993	July	1	212.72
164	Dinajpur (10120)	1993	July	2	180.50
165	Dinajpur (10120)	1993	July	3	220.10
166	Dinajpur (10120)	1993	August	1	146.94
167	Dinajpur (10120)	1993	August	2	222.86
168	Dinajpur (10120)	1993	August	3	146.31
169	Dinajpur (10120)	1993	September	1	177.09
170	Dinajpur (10120)	1993	September	2	188.27
171	Dinajpur (10120)	1993	September	3	125.14
172	Dinajpur (10120)	1993	October	1	170.69
173	Dinajpur (10120)	1993	October	2	176.01
174	Dinajpur (10120)	1993	October	3	201.68
175	Dinajpur (10120)	1993	November	1	139.83
176	Dinajpur (10120)	1993	November	2	146.94
177	Dinajpur (10120)	1993	November	3	157.97
178	Dinajpur (10120)	1993	December	1	145.44
179	Dinajpur (10120)	1993	December	2	137.00
180	Dinajpur (10120)	1993	December	3	140.62
181	Dinajpur (10120)	1994	January	1	109.92
182	Dinajpur (10120)	1994	January	2	125.82
183	Dinajpur (10120)	1994	January	3	151.45
184	Dinajpur (10120)	1994	February	1	133.41
185	Dinajpur (10120)	1994	February	2	187.31
186	Dinajpur (10120)	1994	February	3	151.58
187	Dinajpur (10120)	1994	March	1	213.14
188	Dinajpur (10120)	1994	March	2	199.74
189	Dinajpur (10120)	1994	March	3	231.26
190	Dinajpur (10120)	1994	April	1	215.82
191	Dinajpur (10120)	1994	April	2	229.01
192	Dinajpur (10120)	1994	April	3	224.98
193	Dinajpur (10120)	1994	May	1	233.81
194	Dinajpur (10120)	1994	May	2	233.58
195	Dinajpur (10120)	1994	May	3	221.21
196	Dinajpur (10120)	1994	June	1	162.52
197	Dinajpur (10120)	1994	June	2	180.15
198	Dinajpur (10120)	1994	June	3	181.93
199	Dinajpur (10120)	1994	July	1	201.75
200	Dinajpur (10120)	1994	July	2	239.52
201	Dinajpur (10120)	1994	July	3	188.98
202	Dinajpur (10120)	1994	August	1	200.01
203	Dinajpur (10120)	1994	August	2	192.24
204	Dinajpur (10120)	1994	August	3	205.57
205	Dinajpur (10120)	1994	September	1	185.48
206	Dinajpur (10120)	1994	September	2	177.00
207	Dinajpur (10120)	1994	September	3	190.27
208	Dinajpur (10120)	1994	October	1	153.86
209	Dinajpur (10120)	1994	October	2	198.17
210	Dinajpur (10120)	1994	October	3	197.83
211	Dinajpur (10120)	1994	November	1	138.53
212	Dinajpur (10120)	1994	November	2	164.13
213	Dinajpur (10120)	1994	November	3	136.74
214	Dinajpur (10120)	1994	December	1	136.68
215	Dinajpur (10120)	1994	December	2	137.34
216	Dinajpur (10120)	1994	December	3	134.20
217	Dinajpur (10120)	1995	January	1	114.39
218	Dinajpur (10120)	1995	January	2	134.31
219	Dinajpur (10120)	1995	January	3	173.11
220	Dinajpur (10120)	1995	February	1	154.41
221	Dinajpur (10120)	1995	February	2	147.50
222	Dinajpur (10120)	1995	February	3	151.51
223	Dinajpur (10120)	1995	March	1	182.82
224	Dinajpur (10120)	1995	March	2	200.95
225	Dinajpur (10120)	1995	March	3	234.43
226	Dinajpur (10120)	1995	April	1	208.48
227	Dinajpur (10120)	1995	April	2	226.43
228	Dinajpur (10120)	1995	April	3	226.19
229	Dinajpur (10120)	1995	May	1	224.79
230	Dinajpur (10120)	1995	May	2	215.29
231	Dinajpur (10120)	1995	May	3	246.98
232	Dinajpur (10120)	1995	June	1	155.67
233	Dinajpur (10120)	1995	June	2	124.75
234	Dinajpur (10120)	1995	June	3	202.14
235	Dinajpur (10120)	1995	July	1	116.10
236	Dinajpur (10120)	1995	July	2	199.72
237	Dinajpur (10120)	1995	July	3	195.21
238	Dinajpur (10120)	1995	August	1	198.11
239	Dinajpur (10120)	1995	August	2	149.75
240	Dinajpur (10120)	1995	August	3	242.26
241	Dinajpur (10120)	1995	September	1	193.48
242	Dinajpur (10120)	1995	September	2	151.64
243	Dinajpur (10120)	1995	September	3	111.12
244	Dinajpur (10120)	1995	October	1	206.13
245	Dinajpur (10120)	1995	October	2	158.70
246	Dinajpur (10120)	1995	October	3	202.30
247	Dinajpur (10120)	1995	November	1	150.03
248	Dinajpur (10120)	1995	November	2	153.19
249	Dinajpur (10120)	1995	November	3	146.00
250	Dinajpur (10120)	1995	December	1	142.51
251	Dinajpur (10120)	1995	December	2	126.47
252	Dinajpur (10120)	1995	December	3	138.88
253	Dinajpur (10120)	1996	January	1	131.05
254	Dinajpur (10120)	1996	January	2	124.67
255	Dinajpur (10120)	1996	January	3	163.72
256	Dinajpur (10120)	1996	February	1	165.87
257	Dinajpur (10120)	1996	February	2	187.70
258	Dinajpur (10120)	1996	February	3	170.36
259	Dinajpur (10120)	1996	March	1	217.22
260	Dinajpur (10120)	1996	March	2	224.53
261	Dinajpur (10120)	1996	March	3	233.94
262	Dinajpur (10120)	1996	April	1	245.10
263	Dinajpur (10120)	1996	April	2	222.27
264	Dinajpur (10120)	1996	April	3	262.48
265	Dinajpur (10120)	1996	May	1	227.69
266	Dinajpur (10120)	1996	May	2	210.14
267	Dinajpur (10120)	1996	May	3	228.01
268	Dinajpur (10120)	1996	June	1	208.27
269	Dinajpur (10120)	1996	June	2	235.10
270	Dinajpur (10120)	1996	June	3	239.04
271	Dinajpur (10120)	1996	July	1	170.16
272	Dinajpur (10120)	1996	July	2	140.59
273	Dinajpur (10120)	1996	July	3	156.77
274	Dinajpur (10120)	1996	August	1	187.03
275	Dinajpur (10120)	1996	August	2	176.83
276	Dinajpur (10120)	1996	August	3	210.73
277	Dinajpur (10120)	1996	September	1	201.19
278	Dinajpur (10120)	1996	September	2	152.12
279	Dinajpur (10120)	1996	September	3	204.85
280	Dinajpur (10120)	1996	October	1	152.50
281	Dinajpur (10120)	1996	October	2	140.36
282	Dinajpur (10120)	1996	October	3	189.50
283	Dinajpur (10120)	1996	November	1	192.61
284	Dinajpur (10120)	1996	November	2	119.16
285	Dinajpur (10120)	1996	November	3	166.54
286	Dinajpur (10120)	1996	December	1	153.01
287	Dinajpur (10120)	1996	December	2	139.59
288	Dinajpur (10120)	1996	December	3	155.02
289	Dinajpur (10120)	1997	January	1	149.20
290	Dinajpur (10120)	1997	January	2	108.01
291	Dinajpur (10120)	1997	January	3	151.39
292	Dinajpur (10120)	1997	February	1	130.61
293	Dinajpur (10120)	1997	February	2	149.79
294	Dinajpur (10120)	1997	February	3	117.38
295	Dinajpur (10120)	1997	March	1	191.90
296	Dinajpur (10120)	1997	March	2	159.29
297	Dinajpur (10120)	1997	March	3	233.76
298	Dinajpur (10120)	1997	April	1	228.87
299	Dinajpur (10120)	1997	April	2	188.63
300	Dinajpur (10120)	1997	April	3	216.18
301	Dinajpur (10120)	1997	May	1	226.41
302	Dinajpur (10120)	1997	May	2	227.10
303	Dinajpur (10120)	1997	May	3	286.75
304	Dinajpur (10120)	1997	June	1	217.61
305	Dinajpur (10120)	1997	June	2	241.62
306	Dinajpur (10120)	1997	June	3	189.39
307	Dinajpur (10120)	1997	July	1	202.86
308	Dinajpur (10120)	1997	July	2	150.38
309	Dinajpur (10120)	1997	July	3	153.44
310	Dinajpur (10120)	1997	August	1	217.84
311	Dinajpur (10120)	1997	August	2	184.30
312	Dinajpur (10120)	1997	August	3	142.64
313	Dinajpur (10120)	1997	September	1	206.45
314	Dinajpur (10120)	1997	September	2	148.78
315	Dinajpur (10120)	1997	September	3	142.33
316	Dinajpur (10120)	1997	October	1	138.85
317	Dinajpur (10120)	1997	October	2	162.19
318	Dinajpur (10120)	1997	October	3	205.33
319	Dinajpur (10120)	1997	November	1	173.93
320	Dinajpur (10120)	1997	November	2	154.76
321	Dinajpur (10120)	1997	November	3	149.67
322	Dinajpur (10120)	1997	December	1	134.23
323	Dinajpur (10120)	1997	December	2	96.94
324	Dinajpur (10120)	1997	December	3	130.20
325	Dinajpur (10120)	1998	January	1	128.56
326	Dinajpur (10120)	1998	January	2	113.89
327	Dinajpur (10120)	1998	January	3	86.08
328	Dinajpur (10120)	1998	February	1	132.85
329	Dinajpur (10120)	1998	February	2	154.74
330	Dinajpur (10120)	1998	February	3	158.27
331	Dinajpur (10120)	1998	March	1	185.80
332	Dinajpur (10120)	1998	March	2	169.49
333	Dinajpur (10120)	1998	March	3	248.71
334	Dinajpur (10120)	1998	April	1	226.73
335	Dinajpur (10120)	1998	April	2	213.38
336	Dinajpur (10120)	1998	April	3	238.08
337	Dinajpur (10120)	1998	May	1	197.17
338	Dinajpur (10120)	1998	May	2	203.08
339	Dinajpur (10120)	1998	May	3	277.53
340	Dinajpur (10120)	1998	June	1	249.12
341	Dinajpur (10120)	1998	June	2	181.76
342	Dinajpur (10120)	1998	June	3	225.55
343	Dinajpur (10120)	1998	July	1	133.75
344	Dinajpur (10120)	1998	July	2	161.82
345	Dinajpur (10120)	1998	July	3	154.87
346	Dinajpur (10120)	1998	August	1	124.88
347	Dinajpur (10120)	1998	August	2	151.61
348	Dinajpur (10120)	1998	August	3	171.70
349	Dinajpur (10120)	1998	September	1	148.03
350	Dinajpur (10120)	1998	September	2	118.52
351	Dinajpur (10120)	1998	September	3	175.12
352	Dinajpur (10120)	1998	October	1	170.77
353	Dinajpur (10120)	1998	October	2	111.41
354	Dinajpur (10120)	1998	October	3	201.33
355	Dinajpur (10120)	1998	November	1	108.47
356	Dinajpur (10120)	1998	November	2	151.88
357	Dinajpur (10120)	1998	November	3	163.96
358	Dinajpur (10120)	1998	December	1	138.30
359	Dinajpur (10120)	1998	December	2	130.17
360	Dinajpur (10120)	1998	December	3	156.69
361	Dinajpur (10120)	1999	January	1	154.55
362	Dinajpur (10120)	1999	January	2	139.50
363	Dinajpur (10120)	1999	January	3	145.54
364	Dinajpur (10120)	1999	February	1	150.75
365	Dinajpur (10120)	1999	February	2	160.46
366	Dinajpur (10120)	1999	February	3	141.25
367	Dinajpur (10120)	1999	March	1	197.46
368	Dinajpur (10120)	1999	March	2	172.06
369	Dinajpur (10120)	1999	March	3	256.30
370	Dinajpur (10120)	1999	April	1	234.57
371	Dinajpur (10120)	1999	April	2	176.84
372	Dinajpur (10120)	1999	April	3	201.37
373	Dinajpur (10120)	1999	May	1	215.04
374	Dinajpur (10120)	1999	May	2	174.67
375	Dinajpur (10120)	1999	May	3	207.37
376	Dinajpur (10120)	1999	June	1	216.95
377	Dinajpur (10120)	1999	June	2	204.82
378	Dinajpur (10120)	1999	June	3	231.12
379	Dinajpur (10120)	1999	July	1	159.87
380	Dinajpur (10120)	1999	July	2	119.37
381	Dinajpur (10120)	1999	July	3	182.94
382	Dinajpur (10120)	1999	August	1	168.00
383	Dinajpur (10120)	1999	August	2	191.93
384	Dinajpur (10120)	1999	August	3	177.83
385	Dinajpur (10120)	1999	September	1	115.53
386	Dinajpur (10120)	1999	September	2	158.41
387	Dinajpur (10120)	1999	September	3	144.47
388	Dinajpur (10120)	1999	October	1	112.66
389	Dinajpur (10120)	1999	October	2	154.34
390	Dinajpur (10120)	1999	October	3	168.79
391	Dinajpur (10120)	1999	November	1	142.95
392	Dinajpur (10120)	1999	November	2	117.78
393	Dinajpur (10120)	1999	November	3	165.63
394	Dinajpur (10120)	1999	December	1	150.23
395	Dinajpur (10120)	1999	December	2	133.23
396	Dinajpur (10120)	1999	December	3	174.73
397	Dinajpur (10120)	2000	January	1	108.58
398	Dinajpur (10120)	2000	January	2	115.54
399	Dinajpur (10120)	2000	January	3	127.45
400	Dinajpur (10120)	2000	February	1	127.44
401	Dinajpur (10120)	2000	February	2	190.29
402	Dinajpur (10120)	2000	February	3	174.09
403	Dinajpur (10120)	2000	March	1	163.70
404	Dinajpur (10120)	2000	March	2	205.74
405	Dinajpur (10120)	2000	March	3	240.99
406	Dinajpur (10120)	2000	April	1	245.51
407	Dinajpur (10120)	2000	April	2	223.42
408	Dinajpur (10120)	2000	April	3	166.07
409	Dinajpur (10120)	2000	May	1	235.94
410	Dinajpur (10120)	2000	May	2	215.33
411	Dinajpur (10120)	2000	May	3	156.72
412	Dinajpur (10120)	2000	June	1	178.48
413	Dinajpur (10120)	2000	June	2	199.45
414	Dinajpur (10120)	2000	June	3	162.32
415	Dinajpur (10120)	2000	July	1	146.58
416	Dinajpur (10120)	2000	July	2	211.70
417	Dinajpur (10120)	2000	July	3	229.93
418	Dinajpur (10120)	2000	August	1	168.24
419	Dinajpur (10120)	2000	August	2	157.38
420	Dinajpur (10120)	2000	August	3	211.51
421	Dinajpur (10120)	2000	September	1	163.55
422	Dinajpur (10120)	2000	September	2	140.52
423	Dinajpur (10120)	2000	September	3	171.40
424	Dinajpur (10120)	2000	October	1	186.68
425	Dinajpur (10120)	2000	October	2	164.76
426	Dinajpur (10120)	2000	October	3	185.39
427	Dinajpur (10120)	2000	November	1	164.64
428	Dinajpur (10120)	2000	November	2	133.72
429	Dinajpur (10120)	2000	November	3	144.05
430	Dinajpur (10120)	2000	December	1	139.65
431	Dinajpur (10120)	2000	December	2	112.31
432	Dinajpur (10120)	2000	December	3	149.90
433	Dinajpur (10120)	2001	January	1	108.81
434	Dinajpur (10120)	2001	January	2	132.52
435	Dinajpur (10120)	2001	January	3	148.31
436	Dinajpur (10120)	2001	February	1	135.19
437	Dinajpur (10120)	2001	February	2	142.33
438	Dinajpur (10120)	2001	February	3	121.64
439	Dinajpur (10120)	2001	March	1	174.83
440	Dinajpur (10120)	2001	March	2	217.20
441	Dinajpur (10120)	2001	March	3	218.41
442	Dinajpur (10120)	2001	April	1	201.76
443	Dinajpur (10120)	2001	April	2	220.59
444	Dinajpur (10120)	2001	April	3	214.01
445	Dinajpur (10120)	2001	May	1	203.16
446	Dinajpur (10120)	2001	May	2	258.04
447	Dinajpur (10120)	2001	May	3	248.40
448	Dinajpur (10120)	2001	June	1	218.09
449	Dinajpur (10120)	2001	June	2	194.33
450	Dinajpur (10120)	2001	June	3	241.64
451	Dinajpur (10120)	2001	July	1	248.54
452	Dinajpur (10120)	2001	July	2	182.39
453	Dinajpur (10120)	2001	July	3	191.89
454	Dinajpur (10120)	2001	August	1	234.91
455	Dinajpur (10120)	2001	August	2	222.20
456	Dinajpur (10120)	2001	August	3	177.92
457	Dinajpur (10120)	2001	September	1	126.48
458	Dinajpur (10120)	2001	September	2	149.33
459	Dinajpur (10120)	2001	September	3	208.01
460	Dinajpur (10120)	2001	October	1	112.15
461	Dinajpur (10120)	2001	October	2	170.59
462	Dinajpur (10120)	2001	October	3	214.06
463	Dinajpur (10120)	2001	November	1	139.57
464	Dinajpur (10120)	2001	November	2	160.62
465	Dinajpur (10120)	2001	November	3	148.85
466	Dinajpur (10120)	2001	December	1	105.93
467	Dinajpur (10120)	2001	December	2	116.37
468	Dinajpur (10120)	2001	December	3	165.30
469	Dinajpur (10120)	2002	January	1	154.26
470	Dinajpur (10120)	2002	January	2	110.86
471	Dinajpur (10120)	2002	January	3	162.64
472	Dinajpur (10120)	2002	February	1	169.69
473	Dinajpur (10120)	2002	February	2	189.69
474	Dinajpur (10120)	2002	February	3	159.70
475	Dinajpur (10120)	2002	March	1	199.73
476	Dinajpur (10120)	2002	March	2	218.54
477	Dinajpur (10120)	2002	March	3	223.06
478	Dinajpur (10120)	2002	April	1	214.89
479	Dinajpur (10120)	2002	April	2	206.27
480	Dinajpur (10120)	2002	April	3	193.66
481	Dinajpur (10120)	2002	May	1	220.50
482	Dinajpur (10120)	2002	May	2	203.09
483	Dinajpur (10120)	2002	May	3	214.53
484	Dinajpur (10120)	2002	June	1	192.76
485	Dinajpur (10120)	2002	June	2	151.17
486	Dinajpur (10120)	2002	June	3	184.63
487	Dinajpur (10120)	2002	July	1	130.74
488	Dinajpur (10120)	2002	July	2	174.24
489	Dinajpur (10120)	2002	July	3	133.71
490	Dinajpur (10120)	2002	August	1	206.33
491	Dinajpur (10120)	2002	August	2	150.12
492	Dinajpur (10120)	2002	August	3	218.07
493	Dinajpur (10120)	2002	September	1	245.10
494	Dinajpur (10120)	2002	September	2	195.01
495	Dinajpur (10120)	2002	September	3	125.36
496	Dinajpur (10120)	2002	October	1	201.54
497	Dinajpur (10120)	2002	October	2	183.95
498	Dinajpur (10120)	2002	October	3	213.84
499	Dinajpur (10120)	2002	November	1	180.72
500	Dinajpur (10120)	2002	November	2	143.28
501	Dinajpur (10120)	2002	November	3	170.68
502	Dinajpur (10120)	2002	December	1	147.86
503	Dinajpur (10120)	2002	December	2	139.43
504	Dinajpur (10120)	2002	December	3	98.57
505	Dinajpur (10120)	2003	January	1	104.53
506	Dinajpur (10120)	2003	January	2	114.12
507	Dinajpur (10120)	2003	January	3	125.15
508	Dinajpur (10120)	2003	February	1	131.29
509	Dinajpur (10120)	2003	February	2	167.25
510	Dinajpur (10120)	2003	February	3	158.49
511	Dinajpur (10120)	2003	March	1	205.78
512	Dinajpur (10120)	2003	March	2	157.00
513	Dinajpur (10120)	2003	March	3	239.27
514	Dinajpur (10120)	2003	April	1	214.86
515	Dinajpur (10120)	2003	April	2	202.36
516	Dinajpur (10120)	2003	April	3	175.61
517	Dinajpur (10120)	2003	May	1	211.63
518	Dinajpur (10120)	2003	May	2	250.73
519	Dinajpur (10120)	2003	May	3	227.73
520	Dinajpur (10120)	2003	June	1	162.34
521	Dinajpur (10120)	2003	June	2	178.08
522	Dinajpur (10120)	2003	June	3	143.57
523	Dinajpur (10120)	2003	July	1	183.60
524	Dinajpur (10120)	2003	July	2	205.30
525	Dinajpur (10120)	2003	July	3	229.37
526	Dinajpur (10120)	2003	August	1	216.94
527	Dinajpur (10120)	2003	August	2	189.24
528	Dinajpur (10120)	2003	August	3	220.43
529	Dinajpur (10120)	2003	September	1	202.29
530	Dinajpur (10120)	2003	September	2	154.72
531	Dinajpur (10120)	2003	September	3	164.80
532	Dinajpur (10120)	2003	October	1	125.82
533	Dinajpur (10120)	2003	October	2	169.75
534	Dinajpur (10120)	2003	October	3	143.47
535	Dinajpur (10120)	2003	November	1	140.27
536	Dinajpur (10120)	2003	November	2	147.80
537	Dinajpur (10120)	2003	November	3	148.97
538	Dinajpur (10120)	2003	December	1	135.06
539	Dinajpur (10120)	2003	December	2	133.92
540	Dinajpur (10120)	2003	December	3	137.37
541	Dinajpur (10120)	2004	January	1	83.39
542	Dinajpur (10120)	2004	January	2	124.45
543	Dinajpur (10120)	2004	January	3	142.23
544	Dinajpur (10120)	2004	February	1	152.27
545	Dinajpur (10120)	2004	February	2	182.51
546	Dinajpur (10120)	2004	February	3	145.27
547	Dinajpur (10120)	2004	March	1	188.94
548	Dinajpur (10120)	2004	March	2	167.94
549	Dinajpur (10120)	2004	March	3	225.76
550	Dinajpur (10120)	2004	April	1	161.80
551	Dinajpur (10120)	2004	April	2	128.67
552	Dinajpur (10120)	2004	April	3	228.14
553	Dinajpur (10120)	2004	May	1	269.89
554	Dinajpur (10120)	2004	May	2	195.48
555	Dinajpur (10120)	2004	May	3	205.27
556	Dinajpur (10120)	2004	June	1	197.92
557	Dinajpur (10120)	2004	June	2	156.61
558	Dinajpur (10120)	2004	June	3	165.34
559	Dinajpur (10120)	2004	July	1	132.42
560	Dinajpur (10120)	2004	July	2	138.19
561	Dinajpur (10120)	2004	July	3	238.29
562	Dinajpur (10120)	2004	August	1	221.18
563	Dinajpur (10120)	2004	August	2	210.78
564	Dinajpur (10120)	2004	August	3	182.92
565	Dinajpur (10120)	2004	September	1	142.60
566	Dinajpur (10120)	2004	September	2	144.66
567	Dinajpur (10120)	2004	September	3	139.73
568	Dinajpur (10120)	2004	October	1	122.92
569	Dinajpur (10120)	2004	October	2	175.49
570	Dinajpur (10120)	2004	October	3	200.55
571	Dinajpur (10120)	2004	November	1	176.41
572	Dinajpur (10120)	2004	November	2	133.20
573	Dinajpur (10120)	2004	November	3	160.78
574	Dinajpur (10120)	2004	December	1	152.97
575	Dinajpur (10120)	2004	December	2	133.18
576	Dinajpur (10120)	2004	December	3	124.80
577	Dinajpur (10120)	2005	January	1	131.08
578	Dinajpur (10120)	2005	January	2	125.12
579	Dinajpur (10120)	2005	January	3	133.75
