 SL. ,Station,Year,Month,Temperature,(Deg.Cel)
107,Dhaka,-11111,1961,11,27.92
119,Dhaka,-11111,1962,11,28.45
131,Dhaka,-11111,1963,11,28.27
143,Dhaka,-11111,1964,11,28.47
155,Dhaka,-11111,1965,11,29.22
167,Dhaka,-11111,1966,11,28.94
179,Dhaka,-11111,1967,11,28.32
191,Dhaka,-11111,1968,11,28.74
203,Dhaka,-11111,1969,11,29.11
215,Dhaka,-11111,1970,11,27.82
227,Dhaka,-11111,1971,11,27.45
239,Dhaka,-11111,1972,11,29.64
251,Dhaka,-11111,1973,11,27.29
263,Dhaka,-11111,1974,11,29.15
275,Dhaka,-11111,1975,11,27.35
287,Dhaka,-11111,1976,11,29.93
299,Dhaka,-11111,1977,11,28.6
311,Dhaka,-11111,1978,11,29.99
323,Dhaka,-11111,1979,11,30.26
335,Dhaka,-11111,1980,11,29.4
347,Dhaka,-11111,1981,11,29.98
359,Dhaka,-11111,1982,11,28.05
371,Dhaka,-11111,1983,11,30.26
383,Dhaka,-11111,1984,11,29.85
395,Dhaka,-11111,1985,11,30.25
407,Dhaka,-11111,1986,11,29.48
419,Dhaka,-11111,1987,11,30.23
431,Dhaka,-11111,1988,11,30.52
443,Dhaka,-11111,1989,11,30.24
455,Dhaka,-11111,1990,11,29.78
467,Dhaka,-11111,1991,11,28.25
479,Dhaka,-11111,1992,11,29.44
491,Dhaka,-11111,1993,11,29.49
503,Dhaka,-11111,1994,11,29.88
515,Dhaka,-11111,1995,11,29.78
527,Dhaka,-11111,1996,11,30.3
539,Dhaka,-11111,1997,11,30.43
551,Dhaka,-11111,1998,11,30.75
563,Dhaka,-11111,1999,11,30.44
575,Dhaka,-11111,2000,11,29.61
587,Dhaka,-11111,2001,11,28.9
599,Dhaka,-11111,2002,11,28.89
611,Dhaka,-11111,2003,11,29.75
623,Dhaka,-11111,2004,11,29.48
635,Dhaka,-11111,2005,11,29.07
647,Dhaka,-11111,2006,11,29.66
659,Dhaka,-11111,2007,11,29.05
671,Dhaka,-11111,2008,11,29.71
683,Dhaka,-11111,2009,11,30.18
695,Dhaka,-11111,2010,11,30.09
707,Dhaka,-11111,2011,11,29.71
719,Dhaka,-11111,2012,11,28.74
731,Dhaka,-11111,2013,11,30.18
743,Dhaka,-11111,2014,11,30.22
755,Dhaka,-11111,2015,11,30.23
767,Dhaka,-11111,2016,11,29.6
779,Dhaka,-11111,2017,11,30.19
791,Dhaka,-11111,2018,11,30.29
803,Dhaka,-11111,2019,11,30.32
815,Dhaka,-11111,2020,11,30.77
12,Dhaka,-11111,1953,12,27.77
24,Dhaka,-11111,1954,12,25.76
36,Dhaka,-11111,1955,12,25.1
48,Dhaka,-11111,1956,12,26.19
60,Dhaka,-11111,1957,12,26.81
72,Dhaka,-11111,1958,12,26.57
84,Dhaka,-11111,1959,12,25.9
96,Dhaka,-11111,1960,12,26.11
108,Dhaka,-11111,1961,12,24.54
120,Dhaka,-11111,1962,12,25.62
132,Dhaka,-11111,1963,12,26.01
144,Dhaka,-11111,1964,12,26.14
156,Dhaka,-11111,1965,12,25.75
168,Dhaka,-11111,1966,12,25.07
180,Dhaka,-11111,1967,12,26.45
192,Dhaka,-11111,1968,12,25.57
204,Dhaka,-11111,1969,12,26.08
216,Dhaka,-11111,1970,12,25.57
228,Dhaka,-11111,1971,12,26.22
240,Dhaka,-11111,1972,12,26.82
252,Dhaka,-11111,1973,12,24.42
264,Dhaka,-11111,1974,12,26.22
276,Dhaka,-11111,1975,12,25.26
288,Dhaka,-11111,1976,12,25.95
300,Dhaka,-11111,1977,12,25.6
312,Dhaka,-11111,1978,12,27.07
324,Dhaka,-11111,1979,12,25.25
336,Dhaka,-11111,1980,12,26.65
348,Dhaka,-11111,1981,12,25.49
360,Dhaka,-11111,1982,12,25.63
372,Dhaka,-11111,1983,12,25.88
384,Dhaka,-11111,1984,12,26.77
396,Dhaka,-11111,1985,12,28.04
408,Dhaka,-11111,1986,12,26.82
420,Dhaka,-11111,1987,12,27.31
432,Dhaka,-11111,1988,12,27.4
444,Dhaka,-11111,1989,12,26.6
456,Dhaka,-11111,1990,12,26.54
468,Dhaka,-11111,1991,12,24.75
480,Dhaka,-11111,1992,12,26.03
492,Dhaka,-11111,1993,12,27.12
504,Dhaka,-11111,1994,12,27.7
516,Dhaka,-11111,1995,12,26.99
528,Dhaka,-11111,1996,12,27.28
540,Dhaka,-11111,1997,12,24.97
552,Dhaka,-11111,1998,12,28.09
564,Dhaka,-11111,1999,12,27.1
576,Dhaka,-11111,2000,12,26.36
588,Dhaka,-11111,2001,12,25.89
600,Dhaka,-11111,2002,12,26.07
612,Dhaka,-11111,2003,12,25.9
624,Dhaka,-11111,2004,12,26.97
636,Dhaka,-11111,2005,12,27.07
648,Dhaka,-11111,2006,12,26.88
660,Dhaka,-11111,2007,12,25.81
672,Dhaka,-11111,2008,12,25.57
684,Dhaka,-11111,2009,12,25.99
696,Dhaka,-11111,2010,12,26.07
708,Dhaka,-11111,2011,12,24.98
720,Dhaka,-11111,2012,12,23.96
732,Dhaka,-11111,2013,12,26.25
744,Dhaka,-11111,2014,12,24.52
756,Dhaka,-11111,2015,12,25.94
768,Dhaka,-11111,2016,12,27.76
780,Dhaka,-11111,2017,12,26.76
792,Dhaka,-11111,2018,12,26.14
804,Dhaka,-11111,2019,12,24.76
816,Dhaka,-11111,2020,12,25.97
