Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,1979,4,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,
Dhaka,1980,4,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,77,0,43,0,1,0,0,0,4,0,11,2,
Dhaka,1981,4,41,2,0,0,4,0,0,0,0,0,0,22,63,2,0,17,16,58,23,21,0,0,2,0,0,0,0,0,0,3,
Dhaka,1956,11,18,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1956,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Dhaka,1957,1,0,0,0,0,0,0,0,0,0,0,41,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dhaka,1957,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,,,
Dhaka,1957,3,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dhaka,1982,4,0,0,0,0,0,7,8,0,0,0,0,6,14,4,0,0,12,4,0,3,0,0,5,0,11,7,12,11,0,0,
Dhaka,1983,4,0,0,0,0,0,0,0,0,0,16,54,0,0,61,0,0,0,0,0,0,0,0,0,11,0,73,0,78,9,16,
Dhaka,1984,4,0,0,0,0,0,0,0,71,0,13,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,21,1,
Dhaka,1985,4,0,0,0,0,0,0,1,6,25,0,0,0,0,0,0,0,45,27,0,7,0,11,0,0,0,0,9,32,12,1,
Dhaka,1986,4,30,0,0,22,0,14,0,1,20,1,2,0,0,0,5,0,0,0,30,0,49,0,0,0,57,0,12,2,2,0,
Dhaka,1987,4,0,0,0,0,0,0,0,0,0,0,15,1,0,51,16,0,0,18,0,8,0,0,0,5,34,67,0,13,2,0,
Dhaka,1988,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,122,1,0,0,0,14,64,0,0,0,23,0,0,28,1,
Dhaka,1957,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1957,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1958,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,44,12,0,0,0,27,0,0,0,,,
Dhaka,1958,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Dhaka,1989,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,0,19,
Dhaka,1990,4,33,24,0,1,12,0,0,0,5,0,0,0,0,0,12,0,0,0,0,28,10,0,0,7,0,9,1,0,12,0,
Dhaka,1991,4,19,0,0,0,0,0,0,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,13,
Dhaka,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,
Dhaka,1993,4,0,0,0,0,0,0,0,0,5,0,16,19,7,0,0,6,15,0,0,0,0,0,0,26,0,0,17,0,2,0,
Dhaka,1994,4,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,30,56,21,0,9,0,0,0,0,0,
Dhaka,1995,4,0,0,0,0,0,0,0,0,45,31,0,1,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1958,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1958,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5
Dhaka,1959,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1959,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,51,6,0,0,0
Dhaka,1996,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,0,0,52,56,5,19,0,0,14,2,
Dhaka,1997,4,0,0,0,0,0,5,0,6,0,0,0,0,8,0,0,38,0,0,0,0,0,0,16,11,0,13,0,3,33,0,
Dhaka,1998,4,0,0,0,0,0,0,26,0,17,1,0,0,0,0,0,7,0,3,0,15,52,2,2,35,0,0,1,0,17,0,
Dhaka,1999,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,2000,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,14,0,3,0,0,29,2,7,0,28,20,31,0,14,9,
Dhaka,2001,4,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,4,0,
